Song,Artist,Date,Streams,Url,Track_Id,Rank
Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2019-01-04,"32,548,077",https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,3KkXRkHbMCARz0aVfEt68P,1
"thank u, next",Ariana Grande,2019-01-04,"29,904,412",https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2rPE9A1vEgShuZxxzR2tZH,2
Wow.,Post Malone,2019-01-04,"29,752,551",https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,6MWtB6iiXyIwun0YzU6DFP,3
Without Me,Halsey,2019-01-04,"24,867,431",https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,5p7ujcrUXASCNwRaWNHR1C,4
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,2019-01-04,"22,845,885",https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,4w8niZpiMy6qz1mntFA5uM,5
Sweet but Psycho,Ava Max,2019-01-04,"21,942,752",https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,25sgk305KZfyuqVBQIahim,6
Calma - Remix,"Pedro Capó, Farruko",2019-01-04,"20,326,903",https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,5iwz1NiezX7WWjnCgY5TH4,7
MIA (feat. Drake),Bad Bunny,2019-01-04,"19,414,160",https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,116H0KvKr2Zl4RPuVBruDO,8
Happier,"Marshmello, Bastille",2019-01-04,"18,637,219",https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2dpaYNEQHiRxtZbfNsse99,9
SICKO MODE,Travis Scott,2019-01-04,"18,588,911",https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2xLMifQCjDGFmkHkpNLD9h,10
High Hopes,Panic! At The Disco,2019-01-04,"18,340,295",https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,1rqqCSm0Qe4I9rUvWncaom,11
Going Bad (feat. Drake),Meek Mill,2019-01-04,"17,137,403",https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2IRZnDFmlqMuOrYOLnZZyc,12
Adan y Eva,Paulo Londra,2019-01-04,"16,773,308",https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,6FyRXC8tJUh863JCkyWqtk,13
ZEZE (feat. Travis Scott & Offset),Kodak Black,2019-01-04,"16,713,258",https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,0FZ4Dmg8jJJAPJnvBIzD9z,14
Shallow,"Lady Gaga, Bradley Cooper",2019-01-04,"16,498,186",https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2VxeLyX666F8uXCJ0dZF8B,15
Eastside (with Halsey & Khalid),benny blanco,2019-01-04,"14,344,693",https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,7FGq80cy8juXBCD2nrqdWU,16
Drip Too Hard (Lil Baby & Gunna),Lil Baby,2019-01-04,"13,970,600",https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,78QR3Wp35dqAhFEc2qAGjE,17
Mo Bamba,Sheck Wes,2019-01-04,"13,371,509",https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,1xzBco0xcoJEDXktl7Jxrr,18
Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,2019-01-04,"13,321,833",https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,5JEx7HbmvHQQswJCsoo9rA,19
Arms Around You (feat. Maluma & Swae Lee),"XXXTENTACION, Lil Pump",2019-01-04,"13,293,720",https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2LskIZrCeLxRvCiGP8gxlh,20
when the party's over,Billie Eilish,2019-01-04,"13,279,895",https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,14JzyD6FlBD5z0wV5P07YI,21
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,2019-01-04,"12,846,041",https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,27rdGxbavYJeBphck5MZAF,22
Better Now,Post Malone,2019-01-04,"12,621,995",https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,7dt6x5M1jzdTEt8oCbisTK,23
Better,Khalid,2019-01-04,"12,406,424",https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,6zeeWid2sgw4lap2jV61PZ,24
Girls Like You (feat. Cardi B),Maroon 5,2019-01-04,"12,367,756",https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,7fa9MBXhVfQ8P8Df9OEbD8,25
imagine,Ariana Grande,2019-01-04,"12,262,149",https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F,0todbbT9g5uQGbeFCiBf2F,26
SAD!,XXXTENTACION,2019-01-04,"12,011,402",https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,3ee8Jmje8o58CHK66QrVC2,27
Be Alright,Dean Lewis,2019-01-04,"11,920,154",https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,3EPXxR3ImUwfayaurPi3cm,28
Bohemian Rhapsody - 2011 Mix,Queen,2019-01-04,"11,376,248",https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,7tFiyTwD0nx5a1eklYtX2J,29
Saturday Nights,Khalid,2019-01-04,"11,371,337",https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,5kfNriitmkNE8mUbZ7gbq8,30
Lucid Dreams,Juice WRLD,2019-01-04,"11,197,891",https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,285pBltuF7vW8TeWk8hdRR,31
In My Mind,"Dynoro, Gigi D'Agostino",2019-01-04,"10,987,254",https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,0E9ZjEAyAwOXZ7wJC0PD33,32
Ella Quiere Beber - Remix,"Anuel AA, Romeo Santos",2019-01-04,"10,777,081",https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2cYnZNzFRFK0H7vSNxPsUq,33
Leave Me Alone,Flipp Dinero,2019-01-04,"10,692,302",https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g,14mHfNsSHN0FbLftyjrV9g,34
Look Back at It,A Boogie Wit da Hoodie,2019-01-04,"10,609,203",https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,3Ol2xnObFdKV9pmRD2t9x8,35
rockstar (feat. 21 Savage),Post Malone,2019-01-04,"10,356,940",https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,0e7ipj03S05BNilyu5bRzt,36
Moonlight,XXXTENTACION,2019-01-04,"10,195,921",https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,0JP9xo3adEtGSdUEISiszL,37
Solo de Mi,Bad Bunny,2019-01-04,"10,172,678",https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR,4uP3pUP18ennmz0tb3GphR,38
Wake Up in the Sky,"Gucci Mane, Bruno Mars, Kodak Black",2019-01-04,"9,846,321",https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud,2G1tXoGBaEMJ7FKGnkf6ud,39
Bad Liar,Imagine Dragons,2019-01-04,"9,782,856",https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3,2RSHsoi04658QL5xgQVov3,40
Promises (with Sam Smith),"Calvin Harris, Jessie Reyez",2019-01-04,"9,779,178",https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,5N5k9nd479b1xpDZ4usjrg,41
I Like It,"Cardi B, Bad Bunny, J Balvin",2019-01-04,"9,747,111",https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,58q2HKrzhC3ozto2nDdN4z,42
whoa (mind in awe),XXXTENTACION,2019-01-04,"9,563,848",https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa,7pdF27mSDuPWhppnHAmWHa,43
Adictiva,"Daddy Yankee, Anuel AA",2019-01-04,"9,561,439",https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,6MJUCumnQsQEKbCy28tbCP,44
Ruin My Life,Zara Larsson,2019-01-04,"9,537,774",https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU,5tAa8Uaqr4VvA3693mbIhU,45
lovely,"Billie Eilish, Khalid",2019-01-04,"9,513,509",https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf,1NJcg626wLln4pGHpiV7mf,46
Youngblood,5 Seconds of Summer,2019-01-04,"9,450,998",https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2iUXsYOEPhVqEBwsqP70rE,47
Taste (feat. Offset),Tyga,2019-01-04,"9,377,729",https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy,5IaHrVsrferBYDm0bDyABy,48
Vaina Loca,"Ozuna, Manuel Turizo",2019-01-04,"9,168,444",https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,48zFZh27QU5qsrBjn4C2FA,49
God's Plan,Drake,2019-01-04,"8,980,769",https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,6DCZcSspjsKoFjzjrWoCdn,50
a lot,21 Savage,2019-01-04,"8,950,974",https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,2t8yVaLvJ0RenpXUIAC52d,51
Desconocidos,"Mau y Ricky, Manuel Turizo, Camilo",2019-01-04,"8,940,249",https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,0s5DNDV6LAKn2u2Ufa3VjQ,52
Kiss and Make Up,"Dua Lipa, BLACKPINK",2019-01-04,"8,781,335",https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,13hvHEstJ4sNbzdroPrPI3,53
monster,21 Savage,2019-01-04,"8,732,939",https://open.spotify.com/track/2FUNBaa5DwItJtYEBgAblU,2FUNBaa5DwItJtYEBgAblU,54
Money,Cardi B,2019-01-04,"8,136,943",https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e,2GGMabyHXnJmjY6CXhhB2e,55
In My Feelings,Drake,2019-01-04,"8,067,924",https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,2G7V7zsVDxg1yRsu7Ew9RJ,56
Natural,Imagine Dragons,2019-01-04,"8,058,139",https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT,2FY7b99s15jUprqC0M5NCT,57
Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,2019-01-04,"8,001,340",https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb,0jAfdqv18goRTUxm3ilRjb,58
Love Someone,Lukas Graham,2019-01-04,"7,951,539",https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,3id2EVGKc3eFAMn9nFnB0r,59
Nonstop,Drake,2019-01-04,"7,907,759",https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct,0TlLq3lA83rQOYtrqBqSct,60
Beautiful (feat. Camila Cabello),Bazzi,2019-01-04,"7,868,930",https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,4VUwkH455At9kENOfzTqmF,61
Imposible,"Luis Fonsi, Ozuna",2019-01-04,"7,830,882",https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm,3ao3OVxHlb3C08vAaApUlm,62
Jocelyn Flores,XXXTENTACION,2019-01-04,"7,677,165",https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,7m9OqQk4RVRkw9JJdeAw96,63
Let You Love Me,Rita Ora,2019-01-04,"7,667,156",https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP,5Fla3zyOCcIRqrDoKLU0DP,64
no tears left to cry,Ariana Grande,2019-01-04,"7,638,105",https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo,2qT1uLXPVPzGgFOx4jtEuo,65
Amanece,"Anuel AA, Haze",2019-01-04,"7,613,788",https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,1LiN0Z98FkR1t0m8KmLcAH,66
BEBE,"6ix9ine, Anuel AA",2019-01-04,"7,584,716",https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn,4KkUjFkcQvGvWekl8RATDn,67
Cuando Te Besé,"Becky G, Paulo Londra",2019-01-04,"7,557,816",https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2XXMDz7SPZ4mSFN1PXfHUy,68
KIKA,"6ix9ine, Tory Lanez",2019-01-04,"7,554,171",https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3,6Gy7rXB6Ku5vIWC7WGWsl3,69
idontwannabeyouanymore,Billie Eilish,2019-01-04,"7,545,015",https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu,40T5GIqQ1CegGm2PTEl8Bu,70
Happy Now,"Kygo, Sandro Cavazza",2019-01-04,"7,501,835",https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4,14sOS5L36385FJ3OL8hew4,71
Psycho (feat. Ty Dolla $ign),Post Malone,2019-01-04,"7,478,237",https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C,3swc6WTsr7rl9DqQKQA55C,72
2002,Anne-Marie,2019-01-04,"7,401,219",https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2BgEsaKNfHUdlh97KmvFyo,73
Body (feat. brando),Loud Luxury,2019-01-04,"7,394,853",https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,7K7MUBCnzgBAvMVW2RTWNs,74
Shape of You,Ed Sheeran,2019-01-04,"7,367,186",https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,7qiZfU4dY1lWllzX7mPBI3,75
Bubalu,"Becky G, Prince Royce, DJ Luian, Mambo Kingz, Anuel AA",2019-01-04,"7,356,038",https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,7dNwJbsT0sg1le5kVugGJb,76
Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,2019-01-04,"7,324,667",https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV,6mQLN3zRtAp6ovjusyYKrV,77
One Kiss (with Dua Lipa),Calvin Harris,2019-01-04,"7,303,078",https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,7ef4DlsgrMEH11cDZd32M6,78
Crushed Up,Future,2019-01-04,"7,199,292",https://open.spotify.com/track/7AYuSG1LoaaFVKjOxsB6Vh,7AYuSG1LoaaFVKjOxsB6Vh,79
BAD!,XXXTENTACION,2019-01-04,"7,114,933",https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ,22An65gG31JLf9n18qjdhZ,80
Reggaeton,J Balvin,2019-01-04,"6,966,608",https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi,2D3z17LBMJ2HEHeBFFjTLi,81
