Song,Artist,Date,Streams,Url,Track_Id,Rank
Solo (feat. Demi Lovato),Clean Bandit,2019-01-04,"6,941,759",https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h,3NuK5xMlSlB6K2Qp16zf3h,82
Believer,Imagine Dragons,2019-01-04,"6,879,520",https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,0pqnGHJpmpxLKifKRmU6WP,83
IDGAF,Dua Lipa,2019-01-04,"6,801,258",https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,76cy1WJvNGJTj78UqeA5zr,84
Another One Bites The Dust - Remastered 2011,Queen,2019-01-04,"6,766,253",https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7,5vdp5UmvTsnMEMESIF2Ym7,85
Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",2019-01-04,"6,609,022",https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i,3V8UKqhEK5zBkBb6d6ub8i,86
Perfect,Ed Sheeran,2019-01-04,"6,520,151",https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,0tgVpDi06FyKpA1z0VMD4v,87
MALA,"6ix9ine, Anuel AA",2019-01-04,"6,514,966",https://open.spotify.com/track/0LQ1J0BCzA2qnAgp9MkkNE,0LQ1J0BCzA2qnAgp9MkkNE,88
Don't Stop Me Now - 2011 Mix,Queen,2019-01-04,"6,496,381",https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7,5T8EDUDqKcs6OSOwEsfqG7,89
Havana (feat. Young Thug),Camila Cabello,2019-01-04,"6,481,381",https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,1rfofaqEpACxVEHIZBJe6W,90
"Fire On Fire - From ""Watership Down""",Sam Smith,2019-01-04,"6,427,867",https://open.spotify.com/track/5rFj8OzffT0iggSjcBaeND,5rFj8OzffT0iggSjcBaeND,91
Armed And Dangerous,Juice WRLD,2019-01-04,"6,427,376",https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX,5wujBwqG7INdStqGd4tRMX,92
Say My Name,"David Guetta, Bebe Rexha, J Balvin",2019-01-04,"6,376,259",https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6,0YammaEkYSeo9vQYZ1OwS6,93
No Stylist (feat. Drake),French Montana,2019-01-04,"6,360,105",https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A,04MLEeAMuV9IlHEsD8vF6A,94
Roses (with Juice WRLD feat. Brendon Urie),benny blanco,2019-01-04,"6,321,324",https://open.spotify.com/track/1KVczjazCcCCgM3gXXUl47,1KVczjazCcCCgM3gXXUl47,95
Shotgun,George Ezra,2019-01-04,"6,296,836",https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC,4ofwffwvvnbSkrMSCKQDaC,96
I Like Me Better,Lauv,2019-01-04,"6,258,578",https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,2P91MQbaiQOfbiz9VqhqKQ,97
Falling Down - Bonus Track,"Lil Peep, XXXTENTACION",2019-01-04,"6,255,381",https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9,4jvjzW7Hm0yK4LvvE0Paz9,98
I Love It (& Lil Pump),Kanye West,2019-01-04,"6,240,478",https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ,4S8d14HvHb70ImctNgVzQQ,99
FEFE,"6ix9ine, Nicki Minaj, Murda Beatz",2019-01-04,"6,229,148",https://open.spotify.com/track/4QIyEq7TcTdAcxjI2AFlAK,4QIyEq7TcTdAcxjI2AFlAK,100
breathin,Ariana Grande,2019-01-04,"6,211,330",https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J,4OafepJy2teCjYJbvFE60J,101
I Fall Apart,Post Malone,2019-01-04,"6,165,561",https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh,75ZvA4QfFiZvzhj2xkaWAh,102
Rise,"Jonas Blue, Jack & Jack",2019-01-04,"6,149,574",https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx,3KLygy1YWhmrQx0GRs7IOx,103
Ya No Tiene Novio,"Sebastian Yatra, Mau y Ricky",2019-01-04,"6,069,075",https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu,7uQmJ1jgNzBpATSoWKSPFu,104
NI BIEN NI MAL,Bad Bunny,2019-01-04,"6,039,873",https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8,278kSqsZIiYp8p3QjYAqa8,105
The Middle,"Zedd, Maren Morris, Grey",2019-01-04,"6,024,466",https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,09IStsImFySgyp0pIQdqAc,106
changes,XXXTENTACION,2019-01-04,"6,023,636",https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO,7AFASza1mXqntmGtbxXprO,107
YOSEMITE,Travis Scott,2019-01-04,"6,020,702",https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR,7lAK3oHbfEnvUQWosrMMpR,108
Thunder,Imagine Dragons,2019-01-04,"6,016,230",https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,1zB4vmk8tFRmM9UULNzbLB,109
Undecided,Chris Brown,2019-01-04,"5,977,064",https://open.spotify.com/track/7uiBocndm12aKbsdnQ3Scx,7uiBocndm12aKbsdnQ3Scx,110
FRIENDS,"Marshmello, Anne-Marie",2019-01-04,"5,968,014",https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G,08bNPGLD8AhKpnnERrAc6G,111
SOLO,JENNIE,2019-01-04,"5,956,033",https://open.spotify.com/track/2wVDWtLKXunswWecARNILj,2wVDWtLKXunswWecARNILj,112
New Rules,Dua Lipa,2019-01-04,"5,925,292",https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O,2xJCMIJfcNYDc5iR0sAm2O,113
This Feeling,"The Chainsmokers, Kelsea Ballerini",2019-01-04,"5,925,138",https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl,4NBTZtAt1F13VvlSKe6KTl,114
Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,2019-01-04,"5,906,612",https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW,4hQ6UGyWQIGJmHSo0J88JW,115
"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse",Nicki Minaj,2019-01-04,"5,872,266",https://open.spotify.com/track/4Uy3kNxW2kB8AEoXljEcth,4Uy3kNxW2kB8AEoXljEcth,116
Butterfly Doors,Lil Pump,2019-01-04,"5,829,912",https://open.spotify.com/track/4NdXQlDTzxbOMkzJGWFtz3,4NdXQlDTzxbOMkzJGWFtz3,117
God is a woman,Ariana Grande,2019-01-04,"5,815,530",https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C,5OCJzvD7sykQEKHH7qAC3C,118
Electricity (with Dua Lipa),"Silk City, Diplo, Mark Ronson",2019-01-04,"5,806,209",https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk,5N4erncE7kuUccm7zEmwzk,119
Best Part (feat. Daniel Caesar),H.E.R.,2019-01-04,"5,737,658",https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig,4OBZT9EnhYIV17t4pGw7ig,120
Say You Won't Let Go,James Arthur,2019-01-04,"5,733,167",https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,5uCax9HTNlzGybIStD3vDh,121
Culpables,"KAROL G, Anuel AA",2019-01-04,"5,688,412",https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH,6q8Lb50EtqNeeJXXe8mMAH,122
Under Pressure - Remastered,"Queen, David Bowie",2019-01-04,"5,586,372",https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x,2fuCquhmrzHpu5xcA1ci9x,123
Too Good At Goodbyes,Sam Smith,2019-01-04,"5,571,631",https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,1mXVgsBdtIVeCLJnSnmtdV,124
Woman Like Me (feat. Nicki Minaj),Little Mix,2019-01-04,"5,507,540",https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED,222B3aljXx6fFwKmFjuBED,125
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,2019-01-04,"5,497,503",https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e,4e4fqjx0Izh4svvTef1z7e,126
Fuck Love (feat. Trippie Redd),XXXTENTACION,2019-01-04,"5,478,008",https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2,7AQim7LbvFVZJE3O8TYgf2,127
Look Alive (feat. Drake),BlocBoy JB,2019-01-04,"5,476,610",https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL,4qKcDkK6siZ7Jp1Jb4m0aL,128
Always Remember Us This Way,Lady Gaga,2019-01-04,"5,467,451",https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk,2rbDhOo9Fh61Bbu23T2qCk,129
Amigos Con Derechos,"Reik, Maluma",2019-01-04,"5,445,003",https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA,2zDj4WjbNDmrRL6Z4YjjCA,130
I'm a Mess,Bebe Rexha,2019-01-04,"5,421,941",https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R,04ZTP5KsCypmtCmQg5tH9R,131
Somebody To Love - 2011 Mix,Queen,2019-01-04,"5,361,535",https://open.spotify.com/track/6cFZ4PLC19taNlpl9pbGMf,6cFZ4PLC19taNlpl9pbGMf,132
Créeme,"KAROL G, Maluma",2019-01-04,"5,256,699",https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz,1mT47pKLXUwPYGwB91GcNz,133
Lucky You (feat. Joyner Lucas),Eminem,2019-01-04,"5,235,879",https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0,60SdxE8apGAxMiRrpbmLY0,134
Thunderclouds,"Sia, Diplo, Labrinth, LSD",2019-01-04,"5,216,852",https://open.spotify.com/track/2c7GlMNmF7pbohjykutmLP,2c7GlMNmF7pbohjykutmLP,135
Congratulations,"Post Malone, Quavo",2019-01-04,"5,165,824",https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9,3a1lNhkSLSkpJE4MSHpDu9,136
bellyache,Billie Eilish,2019-01-04,"5,158,934",https://open.spotify.com/track/51NFxnQvaosfDDutk0tams,51NFxnQvaosfDDutk0tams,137
Hope,"The Chainsmokers, Winona Oak",2019-01-04,"5,112,328",https://open.spotify.com/track/4BiiOzZCrXEzHRLYcYFiD5,4BiiOzZCrXEzHRLYcYFiD5,138
Trampoline,SHAED,2019-01-04,"5,106,179",https://open.spotify.com/track/0lsRatBUs9HNIZAmoGABzk,0lsRatBUs9HNIZAmoGABzk,139
Nuketown (feat. Juice WRLD),Ski Mask The Slump God,2019-01-04,"5,095,730",https://open.spotify.com/track/74lnM5V6ecvoTPV0fvptx9,74lnM5V6ecvoTPV0fvptx9,140
Space Cadet (feat. Gunna),Metro Boomin,2019-01-04,"5,066,740",https://open.spotify.com/track/1fewSx2d5KIZ04wsooEBOz,1fewSx2d5KIZ04wsooEBOz,141
XO Tour Llif3,Lil Uzi Vert,2019-01-04,"5,062,073",https://open.spotify.com/track/7GX5flRQZVHRAGd6B4TmDO,7GX5flRQZVHRAGd6B4TmDO,142
ocean eyes,Billie Eilish,2019-01-04,"5,053,800",https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU,2uIX8YMNjGMD7441kqyyNU,143
Love Lies (with Normani),Khalid,2019-01-04,"5,046,447",https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk,45Egmo7icyopuzJN0oMEdk,144
Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,2019-01-04,"4,999,271",https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6,1wJRveJZLSb1rjhnUHQiv6,145
Closer,"The Chainsmokers, Halsey",2019-01-04,"4,990,860",https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,7BKLCZ1jbUBVqRi2FVlTVw,146
Jackie Chan,"Tiësto, Dzeko, Preme, Post Malone",2019-01-04,"4,958,852",https://open.spotify.com/track/4kWO6O1BUXcZmaxitpVUwp,4kWO6O1BUXcZmaxitpVUwp,147
In My Blood,Shawn Mendes,2019-01-04,"4,919,860",https://open.spotify.com/track/2QZ7WLBE8h2y1Y5Fb8RYbH,2QZ7WLBE8h2y1Y5Fb8RYbH,148
"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,2019-01-04,"4,900,006",https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x,5CLGzJsGqhCEECcpnFQA8x,149
Noticed,Lil Mosey,2019-01-04,"4,895,807",https://open.spotify.com/track/6JQvHMSaR8flFsN53ypOfP,6JQvHMSaR8flFsN53ypOfP,150
Puntos Suspensivos,Piso 21,2019-01-04,"4,882,283",https://open.spotify.com/track/04cd1MHVq1D8v1nuTZoCdv,04cd1MHVq1D8v1nuTZoCdv,151
