Song,Artist,Date,Streams,Url,Track_Id,Rank
Robbery,Juice WRLD,2020-05-22,"5,334,433",https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,6Hj9jySrnFppAI0sEMCZpJ,130
Say You Won't Let Go,James Arthur,2020-05-22,"5,332,015",https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,5uCax9HTNlzGybIStD3vDh,131
OUT WEST (feat. Young Thug),"JACKBOYS, Travis Scott",2020-05-22,"5,319,141",https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw,6gi6y1xwmVszDWkUqab1qw,132
Perfect,Ed Sheeran,2020-05-22,"5,285,817",https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,0tgVpDi06FyKpA1z0VMD4v,133
Turks (with Gunna & ft. Travis Scott),NAV,2020-05-22,"5,279,906",https://open.spotify.com/track/7IMwEtpAiJanqF6vQteZN2,7IMwEtpAiJanqF6vQteZN2,134
La Santa,"Bad Bunny, Daddy Yankee",2020-05-22,"5,231,700",https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK,69vlMrzHwATKzupwNcUPyK,135
Bandit (with YoungBoy Never Broke Again),Juice WRLD,2020-05-22,"5,225,786",https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,6Gg1gjgKi2AK4e0qzsR7sd,136
P2,Lil Uzi Vert,2020-05-22,"5,220,139",https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5,3kW4z2pIj5VY5fLjBrMRL5,137
BOP,DaBaby,2020-05-22,"5,209,815",https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,6Ozh9Ok6h4Oi1wUSLtBseN,138
TOP FLOOR (feat. Travis Scott),Gunna,2020-05-22,"5,193,309",https://open.spotify.com/track/4YhJ3a6kBPGJWX4Ek77sDd,4YhJ3a6kBPGJWX4Ek77sDd,139
Without Me,Halsey,2020-05-22,"5,190,315",https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ,6FZDfxM3a3UCqtzo5pxSLZ,140
China,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",2020-05-22,"5,140,073",https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK,2ksOAxtIxY8yElEWw8RhgK,141
Fame,Apache 207,2020-05-22,"5,139,801",https://open.spotify.com/track/3goH7O78TLkV9RhCAyM4AT,3goH7O78TLkV9RhCAyM4AT,142
Goodbyes (Feat. Young Thug),Post Malone,2020-05-22,"5,134,161",https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,6vBdBCoOhKHiYDDOcorfNo,143
Vete,Bad Bunny,2020-05-22,"5,133,197",https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW,2n7ohqg1s68ToAHh4u9mcW,144
CANCIÓN CON YANDEL,"Yandel, Bad Bunny",2020-05-22,"5,132,247",https://open.spotify.com/track/3pm4XtcsRIFFtH2UErk62R,3pm4XtcsRIFFtH2UErk62R,145
Jangueo,"Alex Rose, Rafa Pabön",2020-05-22,"5,084,564",https://open.spotify.com/track/5m3jpKkgkfoMcym1qjToFg,5m3jpKkgkfoMcym1qjToFg,146
It's You,Ali Gatie,2020-05-22,"5,083,069",https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29,5DqdesEfbRyOlSS3Tf6c29,147
July,Noah Cyrus,2020-05-22,"5,027,694",https://open.spotify.com/track/6J2LdBN97cDWn0MLxYh9HB,6J2LdBN97cDWn0MLxYh9HB,148
X (with KAROL G),Jonas Brothers,2020-05-22,"5,018,592",https://open.spotify.com/track/77fvnWALKJR0ws1VUx09CY,77fvnWALKJR0ws1VUx09CY,149
No Me Conoce - Remix,"Jhay Cortez, J Balvin, Bad Bunny",2020-05-22,"5,009,156",https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P,4R8BJggjosTswLxtkw8V7P,150
MÁS DE UNA CITA,"Bad Bunny, Zion & Lennox",2020-05-22,"4,987,116",https://open.spotify.com/track/4EJHKSnHENfjOxXWryyNtL,4EJHKSnHENfjOxXWryyNtL,151
No Idea,Don Toliver,2020-05-22,"4,945,908",https://open.spotify.com/track/7AzlLxHn24DxjgQX73F9fU,7AzlLxHn24DxjgQX73F9fU,152
