Song,Artist,Date,Streams,Url,Rank
lovely,"Billie Eilish, Khalid",2019-01-04,"9,513,509",https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf,46
Youngblood,5 Seconds of Summer,2019-01-04,"9,450,998",https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,47
Taste (feat. Offset),Tyga,2019-01-04,"9,377,729",https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy,48
Vaina Loca,"Ozuna, Manuel Turizo",2019-01-04,"9,168,444",https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,49
God's Plan,Drake,2019-01-04,"8,980,769",https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,50
a lot,21 Savage,2019-01-04,"8,950,974",https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,51
Desconocidos,"Mau y Ricky, Manuel Turizo, Camilo",2019-01-04,"8,940,249",https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,52
Kiss and Make Up,"Dua Lipa, BLACKPINK",2019-01-04,"8,781,335",https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,53
monster,21 Savage,2019-01-04,"8,732,939",https://open.spotify.com/track/2FUNBaa5DwItJtYEBgAblU,54
Money,Cardi B,2019-01-04,"8,136,943",https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e,55
In My Feelings,Drake,2019-01-04,"8,067,924",https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,56
Natural,Imagine Dragons,2019-01-04,"8,058,139",https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT,57
Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,2019-01-04,"8,001,340",https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb,58
Love Someone,Lukas Graham,2019-01-04,"7,951,539",https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,59
Nonstop,Drake,2019-01-04,"7,907,759",https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct,60
Beautiful (feat. Camila Cabello),Bazzi,2019-01-04,"7,868,930",https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,61
Imposible,"Luis Fonsi, Ozuna",2019-01-04,"7,830,882",https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm,62
Jocelyn Flores,XXXTENTACION,2019-01-04,"7,677,165",https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,63
Let You Love Me,Rita Ora,2019-01-04,"7,667,156",https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP,64
no tears left to cry,Ariana Grande,2019-01-04,"7,638,105",https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo,65
Amanece,"Anuel AA, Haze",2019-01-04,"7,613,788",https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,66
