,Song,Artist,Date,Streams,Url,Track_Id,Rank,valence
585,We Will Rock You - Remastered,Queen,2019-01-18,"4,550,604",https://open.spotify.com/track/4pbJqGIASGPr0ZpGpnWkDn,4pbJqGIASGPr0ZpGpnWkDn,186,0.26564923371050675
586,Jenifer,Gabriel Diniz,2019-01-18,"4,548,197",https://open.spotify.com/track/5ixqGGFu0hdHfErdp32QwT,5ixqGGFu0hdHfErdp32QwT,187,0.6327143404823886
587,HUMBLE.,Kendrick Lamar,2019-01-18,"4,536,715",https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS,7KXjTSCq5nL1LoYtL7XAwS,188,0.16928566152486246
588,Happier,Ed Sheeran,2019-01-18,"4,514,060",https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB,2RttW7RAu5nOAfq6YFvApB,189,0.9610840698117898
589,Sin Pijama,"Becky G, Natti Natasha",2019-01-18,"4,495,173",https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww,2ijef6ni2amuunRoKTlgww,190,0.4473416969998918
590,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,2019-01-18,"4,440,836",https://open.spotify.com/track/5Gu0PDLN4YJeW75PpBSg9p,5Gu0PDLN4YJeW75PpBSg9p,191,0.32963218443384945
591,DODI,Shindy,2019-01-18,"4,407,694",https://open.spotify.com/track/63THFs9ovzO3WQsz4lzh0H,63THFs9ovzO3WQsz4lzh0H,192,0.7542927138250428
592,I'm Yours,Jason Mraz,2019-01-18,"4,392,899",https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW,3S0OXQeoh0w6AY8WQVckRW,193,0.25927650538177915
593,All The Stars (with SZA),Kendrick Lamar,2019-01-18,"4,370,643",https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s,3GCdLUSnKSMJhs4Tj6CV3s,194,0.6085857398566908
594,Mine,Bazzi,2019-01-18,"4,366,487",https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR,7uzmGiiJyRfuViKKK3lVmR,195,0.6438290648525246
595,Ibiza,"Ozuna, Romeo Santos",2019-01-18,"4,361,461",https://open.spotify.com/track/1h9P5WJwyvK8OB7O2YiXgp,1h9P5WJwyvK8OB7O2YiXgp,196,0.24480949268187147
596,Stamm Fort (feat. Sfera Ebbasta),Luche,2019-01-18,"4,343,251",https://open.spotify.com/track/7iTTQvztpfrDneVSX9IGBD,7iTTQvztpfrDneVSX9IGBD,197,0.44795599407523734
597,Look At Me!,XXXTENTACION,2019-01-18,"4,342,309",https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s,6eYxmK9fdL4hwLnXG2zY3s,198,0.21487970020516267
598,What Lovers Do,"Maroon 5, SZA",2019-01-18,"4,324,061",https://open.spotify.com/track/0WdGQhoAP2LBsqr5Jhit2g,0WdGQhoAP2LBsqr5Jhit2g,199,0.5482153514135916
599,Wolves,"Selena Gomez, Marshmello",2019-01-18,"4,321,130",https://open.spotify.com/track/0tBbt8CrmxbjRP0pueQkyU,0tBbt8CrmxbjRP0pueQkyU,200,0.23036949431406384
600,7 rings,Ariana Grande,2019-01-25,"59,324,475",https://open.spotify.com/track/14msK75pk3pA33pzPVNtBF,14msK75pk3pA33pzPVNtBF,1,0.23048182436798714
601,MIDDLE CHILD,J. Cole,2019-01-25,"33,187,464",https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,2JvzF1RMd7lE3KmFlsyZD8,2,0.8806525345887696
602,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2019-01-25,"31,802,899",https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,3KkXRkHbMCARz0aVfEt68P,3,0.7196042779738121
603,Wow.,Post Malone,2019-01-25,"31,030,529",https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,6MWtB6iiXyIwun0YzU6DFP,4,0.7341644490158049
604,Without Me,Halsey,2019-01-25,"26,472,621",https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,5p7ujcrUXASCNwRaWNHR1C,5,0.6305629929982103
605,"thank u, next",Ariana Grande,2019-01-25,"24,236,734",https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2rPE9A1vEgShuZxxzR2tZH,6,0.34546606081738485
606,Dancing With A Stranger (with Normani),Sam Smith,2019-01-25,"23,144,963",https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki,6Qs4SXO9dwPj5GKvVOv8Ki,7,0.8092716364335106
607,Calma - Remix,"Pedro Capó, Farruko",2019-01-25,"23,096,433",https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,5iwz1NiezX7WWjnCgY5TH4,8,0.12196627883497402
