,Song,Artist,Date,Streams,Url,Track_Id,Rank,valence
0,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2019-01-04,"32,548,077",https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,3KkXRkHbMCARz0aVfEt68P,1,0.7196042779738121
1,"thank u, next",Ariana Grande,2019-01-04,"29,904,412",https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH,2rPE9A1vEgShuZxxzR2tZH,2,0.34546606081738485
2,Wow.,Post Malone,2019-01-04,"29,752,551",https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,6MWtB6iiXyIwun0YzU6DFP,3,0.7341644490158049
3,Without Me,Halsey,2019-01-04,"24,867,431",https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C,5p7ujcrUXASCNwRaWNHR1C,4,0.6305629929982103
4,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,2019-01-04,"22,845,885",https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,4w8niZpiMy6qz1mntFA5uM,5,0.21326422210223261
5,Sweet but Psycho,Ava Max,2019-01-04,"21,942,752",https://open.spotify.com/track/25sgk305KZfyuqVBQIahim,25sgk305KZfyuqVBQIahim,6,0.6449172341502887
6,Calma - Remix,"Pedro Capó, Farruko",2019-01-04,"20,326,903",https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,5iwz1NiezX7WWjnCgY5TH4,7,0.12196627883497402
7,MIA (feat. Drake),Bad Bunny,2019-01-04,"19,414,160",https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,116H0KvKr2Zl4RPuVBruDO,8,0.7056661133711196
8,Happier,"Marshmello, Bastille",2019-01-04,"18,637,219",https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2dpaYNEQHiRxtZbfNsse99,9,0.9004925812877339
9,SICKO MODE,Travis Scott,2019-01-04,"18,588,911",https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,2xLMifQCjDGFmkHkpNLD9h,10,0.893690108044516
10,High Hopes,Panic! At The Disco,2019-01-04,"18,340,295",https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom,1rqqCSm0Qe4I9rUvWncaom,11,0.5065188455255522
11,Going Bad (feat. Drake),Meek Mill,2019-01-04,"17,137,403",https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,2IRZnDFmlqMuOrYOLnZZyc,12,0.9505540046807596
12,Adan y Eva,Paulo Londra,2019-01-04,"16,773,308",https://open.spotify.com/track/6FyRXC8tJUh863JCkyWqtk,6FyRXC8tJUh863JCkyWqtk,13,0.8557975766827419
13,ZEZE (feat. Travis Scott & Offset),Kodak Black,2019-01-04,"16,713,258",https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,0FZ4Dmg8jJJAPJnvBIzD9z,14,0.345461444192124
14,Shallow,"Lady Gaga, Bradley Cooper",2019-01-04,"16,498,186",https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B,2VxeLyX666F8uXCJ0dZF8B,15,0.6422171663487183
15,Eastside (with Halsey & Khalid),benny blanco,2019-01-04,"14,344,693",https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU,7FGq80cy8juXBCD2nrqdWU,16,0.36799635378352824
16,Drip Too Hard (Lil Baby & Gunna),Lil Baby,2019-01-04,"13,970,600",https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,78QR3Wp35dqAhFEc2qAGjE,17,0.9361234166870702
17,Mo Bamba,Sheck Wes,2019-01-04,"13,371,509",https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,1xzBco0xcoJEDXktl7Jxrr,18,0.011101126061136446
18,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,2019-01-04,"13,321,833",https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,5JEx7HbmvHQQswJCsoo9rA,19,0.1522669932125411
19,Arms Around You (feat. Maluma & Swae Lee),"XXXTENTACION, Lil Pump",2019-01-04,"13,293,720",https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh,2LskIZrCeLxRvCiGP8gxlh,20,0.8073163700728055
20,when the party's over,Billie Eilish,2019-01-04,"13,279,895",https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI,14JzyD6FlBD5z0wV5P07YI,21,0.612303726106954
21,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,2019-01-04,"12,846,041",https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF,27rdGxbavYJeBphck5MZAF,22,0.1644332593519071
22,Better Now,Post Malone,2019-01-04,"12,621,995",https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK,7dt6x5M1jzdTEt8oCbisTK,23,0.5936491799823664
23,Better,Khalid,2019-01-04,"12,406,424",https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,6zeeWid2sgw4lap2jV61PZ,24,0.2568745743460713
24,Girls Like You (feat. Cardi B),Maroon 5,2019-01-04,"12,367,756",https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,7fa9MBXhVfQ8P8Df9OEbD8,25,0.6347232939070291
25,imagine,Ariana Grande,2019-01-04,"12,262,149",https://open.spotify.com/track/0todbbT9g5uQGbeFCiBf2F,0todbbT9g5uQGbeFCiBf2F,26,0.12380177357504618
26,SAD!,XXXTENTACION,2019-01-04,"12,011,402",https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,3ee8Jmje8o58CHK66QrVC2,27,0.22739118012706983
27,Be Alright,Dean Lewis,2019-01-04,"11,920,154",https://open.spotify.com/track/3EPXxR3ImUwfayaurPi3cm,3EPXxR3ImUwfayaurPi3cm,28,0.5322034937568245
28,Bohemian Rhapsody - 2011 Mix,Queen,2019-01-04,"11,376,248",https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J,7tFiyTwD0nx5a1eklYtX2J,29,0.8353340542358874
29,Saturday Nights,Khalid,2019-01-04,"11,371,337",https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,5kfNriitmkNE8mUbZ7gbq8,30,0.42227877999845176
30,Lucid Dreams,Juice WRLD,2019-01-04,"11,197,891",https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,285pBltuF7vW8TeWk8hdRR,31,0.4001165322590312
31,In My Mind,"Dynoro, Gigi D'Agostino",2019-01-04,"10,987,254",https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,0E9ZjEAyAwOXZ7wJC0PD33,32,0.8098583828075171
32,Ella Quiere Beber - Remix,"Anuel AA, Romeo Santos",2019-01-04,"10,777,081",https://open.spotify.com/track/2cYnZNzFRFK0H7vSNxPsUq,2cYnZNzFRFK0H7vSNxPsUq,33,0.6620764966492083
33,Leave Me Alone,Flipp Dinero,2019-01-04,"10,692,302",https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g,14mHfNsSHN0FbLftyjrV9g,34,0.07876037639590583
34,Look Back at It,A Boogie Wit da Hoodie,2019-01-04,"10,609,203",https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,3Ol2xnObFdKV9pmRD2t9x8,35,0.056213167356165106
35,rockstar (feat. 21 Savage),Post Malone,2019-01-04,"10,356,940",https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,0e7ipj03S05BNilyu5bRzt,36,0.6323024104852601
36,Moonlight,XXXTENTACION,2019-01-04,"10,195,921",https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL,0JP9xo3adEtGSdUEISiszL,37,0.07414628906400189
37,Solo de Mi,Bad Bunny,2019-01-04,"10,172,678",https://open.spotify.com/track/4uP3pUP18ennmz0tb3GphR,4uP3pUP18ennmz0tb3GphR,38,0.6319623198609311
38,Wake Up in the Sky,"Gucci Mane, Bruno Mars, Kodak Black",2019-01-04,"9,846,321",https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud,2G1tXoGBaEMJ7FKGnkf6ud,39,0.4033431436647631
39,Bad Liar,Imagine Dragons,2019-01-04,"9,782,856",https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3,2RSHsoi04658QL5xgQVov3,40,0.6170538258375224
40,Promises (with Sam Smith),"Calvin Harris, Jessie Reyez",2019-01-04,"9,779,178",https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,5N5k9nd479b1xpDZ4usjrg,41,0.22641339753362644
41,I Like It,"Cardi B, Bad Bunny, J Balvin",2019-01-04,"9,747,111",https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,58q2HKrzhC3ozto2nDdN4z,42,0.8939854643661789
42,whoa (mind in awe),XXXTENTACION,2019-01-04,"9,563,848",https://open.spotify.com/track/7pdF27mSDuPWhppnHAmWHa,7pdF27mSDuPWhppnHAmWHa,43,0.9329395216683162
43,Adictiva,"Daddy Yankee, Anuel AA",2019-01-04,"9,561,439",https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP,6MJUCumnQsQEKbCy28tbCP,44,0.560084245483963
44,Ruin My Life,Zara Larsson,2019-01-04,"9,537,774",https://open.spotify.com/track/5tAa8Uaqr4VvA3693mbIhU,5tAa8Uaqr4VvA3693mbIhU,45,0.6165140211956482
45,lovely,"Billie Eilish, Khalid",2019-01-04,"9,513,509",https://open.spotify.com/track/1NJcg626wLln4pGHpiV7mf,1NJcg626wLln4pGHpiV7mf,46,0.9530869910899228
46,Youngblood,5 Seconds of Summer,2019-01-04,"9,450,998",https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2iUXsYOEPhVqEBwsqP70rE,47,0.1093139822013337
47,Taste (feat. Offset),Tyga,2019-01-04,"9,377,729",https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy,5IaHrVsrferBYDm0bDyABy,48,0.016643376829034384
48,Vaina Loca,"Ozuna, Manuel Turizo",2019-01-04,"9,168,444",https://open.spotify.com/track/48zFZh27QU5qsrBjn4C2FA,48zFZh27QU5qsrBjn4C2FA,49,0.6156692827875619
49,God's Plan,Drake,2019-01-04,"8,980,769",https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,6DCZcSspjsKoFjzjrWoCdn,50,0.8249521000782333
50,a lot,21 Savage,2019-01-04,"8,950,974",https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,2t8yVaLvJ0RenpXUIAC52d,51,0.688611368519306
51,Desconocidos,"Mau y Ricky, Manuel Turizo, Camilo",2019-01-04,"8,940,249",https://open.spotify.com/track/0s5DNDV6LAKn2u2Ufa3VjQ,0s5DNDV6LAKn2u2Ufa3VjQ,52,0.9785766707955259
52,Kiss and Make Up,"Dua Lipa, BLACKPINK",2019-01-04,"8,781,335",https://open.spotify.com/track/13hvHEstJ4sNbzdroPrPI3,13hvHEstJ4sNbzdroPrPI3,53,0.24454132225767733
53,monster,21 Savage,2019-01-04,"8,732,939",https://open.spotify.com/track/2FUNBaa5DwItJtYEBgAblU,2FUNBaa5DwItJtYEBgAblU,54,0.6426514998392329
54,Money,Cardi B,2019-01-04,"8,136,943",https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e,2GGMabyHXnJmjY6CXhhB2e,55,0.9125537400415782
55,In My Feelings,Drake,2019-01-04,"8,067,924",https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,2G7V7zsVDxg1yRsu7Ew9RJ,56,0.14080194219879238
56,Natural,Imagine Dragons,2019-01-04,"8,058,139",https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT,2FY7b99s15jUprqC0M5NCT,57,0.05994635138557025
57,Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,2019-01-04,"8,001,340",https://open.spotify.com/track/0jAfdqv18goRTUxm3ilRjb,0jAfdqv18goRTUxm3ilRjb,58,0.6219287808434688
58,Love Someone,Lukas Graham,2019-01-04,"7,951,539",https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r,3id2EVGKc3eFAMn9nFnB0r,59,0.7130066132113353
59,Nonstop,Drake,2019-01-04,"7,907,759",https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct,0TlLq3lA83rQOYtrqBqSct,60,0.8902034489588183
60,Beautiful (feat. Camila Cabello),Bazzi,2019-01-04,"7,868,930",https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF,4VUwkH455At9kENOfzTqmF,61,0.3760175192895685
61,Imposible,"Luis Fonsi, Ozuna",2019-01-04,"7,830,882",https://open.spotify.com/track/3ao3OVxHlb3C08vAaApUlm,3ao3OVxHlb3C08vAaApUlm,62,0.12987270221255576
62,Jocelyn Flores,XXXTENTACION,2019-01-04,"7,677,165",https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,7m9OqQk4RVRkw9JJdeAw96,63,0.6963179604083665
63,Let You Love Me,Rita Ora,2019-01-04,"7,667,156",https://open.spotify.com/track/5Fla3zyOCcIRqrDoKLU0DP,5Fla3zyOCcIRqrDoKLU0DP,64,0.3880310723643461
64,no tears left to cry,Ariana Grande,2019-01-04,"7,638,105",https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo,2qT1uLXPVPzGgFOx4jtEuo,65,0.6667280114509742
65,Amanece,"Anuel AA, Haze",2019-01-04,"7,613,788",https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,1LiN0Z98FkR1t0m8KmLcAH,66,0.6204171795849505
66,BEBE,"6ix9ine, Anuel AA",2019-01-04,"7,584,716",https://open.spotify.com/track/4KkUjFkcQvGvWekl8RATDn,4KkUjFkcQvGvWekl8RATDn,67,0.5638422762021185
67,Cuando Te Besé,"Becky G, Paulo Londra",2019-01-04,"7,557,816",https://open.spotify.com/track/2XXMDz7SPZ4mSFN1PXfHUy,2XXMDz7SPZ4mSFN1PXfHUy,68,0.8335759472569909
68,KIKA,"6ix9ine, Tory Lanez",2019-01-04,"7,554,171",https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3,6Gy7rXB6Ku5vIWC7WGWsl3,69,0.45233295329353307
69,idontwannabeyouanymore,Billie Eilish,2019-01-04,"7,545,015",https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu,40T5GIqQ1CegGm2PTEl8Bu,70,0.4111152080224161
70,Happy Now,"Kygo, Sandro Cavazza",2019-01-04,"7,501,835",https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4,14sOS5L36385FJ3OL8hew4,71,0.6266288155098139
71,Psycho (feat. Ty Dolla $ign),Post Malone,2019-01-04,"7,478,237",https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C,3swc6WTsr7rl9DqQKQA55C,72,0.3662940647094052
72,2002,Anne-Marie,2019-01-04,"7,401,219",https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,2BgEsaKNfHUdlh97KmvFyo,73,0.46094280933629905
73,Body (feat. brando),Loud Luxury,2019-01-04,"7,394,853",https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,7K7MUBCnzgBAvMVW2RTWNs,74,0.2911014809953528
74,Shape of You,Ed Sheeran,2019-01-04,"7,367,186",https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,7qiZfU4dY1lWllzX7mPBI3,75,0.3245693971509478
75,Bubalu,"Becky G, Prince Royce, DJ Luian, Mambo Kingz, Anuel AA",2019-01-04,"7,356,038",https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb,7dNwJbsT0sg1le5kVugGJb,76,0.813173228188306
76,Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,2019-01-04,"7,324,667",https://open.spotify.com/track/6mQLN3zRtAp6ovjusyYKrV,6mQLN3zRtAp6ovjusyYKrV,77,0.8214422259748639
77,One Kiss (with Dua Lipa),Calvin Harris,2019-01-04,"7,303,078",https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,7ef4DlsgrMEH11cDZd32M6,78,0.22793188154628818
78,Crushed Up,Future,2019-01-04,"7,199,292",https://open.spotify.com/track/7AYuSG1LoaaFVKjOxsB6Vh,7AYuSG1LoaaFVKjOxsB6Vh,79,0.36690794268642446
79,BAD!,XXXTENTACION,2019-01-04,"7,114,933",https://open.spotify.com/track/22An65gG31JLf9n18qjdhZ,22An65gG31JLf9n18qjdhZ,80,0.0520881903069641
80,Reggaeton,J Balvin,2019-01-04,"6,966,608",https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi,2D3z17LBMJ2HEHeBFFjTLi,81,0.44113889869752565
81,Solo (feat. Demi Lovato),Clean Bandit,2019-01-04,"6,941,759",https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h,3NuK5xMlSlB6K2Qp16zf3h,82,0.079926028610525
82,Believer,Imagine Dragons,2019-01-04,"6,879,520",https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,0pqnGHJpmpxLKifKRmU6WP,83,0.8464450384076534
83,IDGAF,Dua Lipa,2019-01-04,"6,801,258",https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,76cy1WJvNGJTj78UqeA5zr,84,0.9561556156551174
84,Another One Bites The Dust - Remastered 2011,Queen,2019-01-04,"6,766,253",https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7,5vdp5UmvTsnMEMESIF2Ym7,85,0.31874868949975477
85,Te Boté - Remix,"Nio Garcia, Casper Magico, Bad Bunny, Darell, Ozuna, Nicky Jam",2019-01-04,"6,609,022",https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i,3V8UKqhEK5zBkBb6d6ub8i,86,0.28010522049737674
86,Perfect,Ed Sheeran,2019-01-04,"6,520,151",https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,0tgVpDi06FyKpA1z0VMD4v,87,0.4470229443398379
87,MALA,"6ix9ine, Anuel AA",2019-01-04,"6,514,966",https://open.spotify.com/track/0LQ1J0BCzA2qnAgp9MkkNE,0LQ1J0BCzA2qnAgp9MkkNE,88,0.13923102965287604
88,Don't Stop Me Now - 2011 Mix,Queen,2019-01-04,"6,496,381",https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7,5T8EDUDqKcs6OSOwEsfqG7,89,0.08082284624644676
89,Havana (feat. Young Thug),Camila Cabello,2019-01-04,"6,481,381",https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,1rfofaqEpACxVEHIZBJe6W,90,0.570261207836354
90,"Fire On Fire - From ""Watership Down""",Sam Smith,2019-01-04,"6,427,867",https://open.spotify.com/track/5rFj8OzffT0iggSjcBaeND,5rFj8OzffT0iggSjcBaeND,91,0.18663352087162965
91,Armed And Dangerous,Juice WRLD,2019-01-04,"6,427,376",https://open.spotify.com/track/5wujBwqG7INdStqGd4tRMX,5wujBwqG7INdStqGd4tRMX,92,0.5050963783717939
92,Say My Name,"David Guetta, Bebe Rexha, J Balvin",2019-01-04,"6,376,259",https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6,0YammaEkYSeo9vQYZ1OwS6,93,0.06328946463530782
93,No Stylist (feat. Drake),French Montana,2019-01-04,"6,360,105",https://open.spotify.com/track/04MLEeAMuV9IlHEsD8vF6A,04MLEeAMuV9IlHEsD8vF6A,94,0.1781790571338714
94,Roses (with Juice WRLD feat. Brendon Urie),benny blanco,2019-01-04,"6,321,324",https://open.spotify.com/track/1KVczjazCcCCgM3gXXUl47,1KVczjazCcCCgM3gXXUl47,95,0.9639440503159177
95,Shotgun,George Ezra,2019-01-04,"6,296,836",https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC,4ofwffwvvnbSkrMSCKQDaC,96,0.1879778663183137
96,I Like Me Better,Lauv,2019-01-04,"6,258,578",https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ,2P91MQbaiQOfbiz9VqhqKQ,97,0.7816219345953872
97,Falling Down - Bonus Track,"Lil Peep, XXXTENTACION",2019-01-04,"6,255,381",https://open.spotify.com/track/4jvjzW7Hm0yK4LvvE0Paz9,4jvjzW7Hm0yK4LvvE0Paz9,98,0.6365109997590781
98,I Love It (& Lil Pump),Kanye West,2019-01-04,"6,240,478",https://open.spotify.com/track/4S8d14HvHb70ImctNgVzQQ,4S8d14HvHb70ImctNgVzQQ,99,0.2914707721204961
99,FEFE,"6ix9ine, Nicki Minaj, Murda Beatz",2019-01-04,"6,229,148",https://open.spotify.com/track/4QIyEq7TcTdAcxjI2AFlAK,4QIyEq7TcTdAcxjI2AFlAK,100,0.27381071436533544
100,breathin,Ariana Grande,2019-01-04,"6,211,330",https://open.spotify.com/track/4OafepJy2teCjYJbvFE60J,4OafepJy2teCjYJbvFE60J,101,0.43166873016471186
101,I Fall Apart,Post Malone,2019-01-04,"6,165,561",https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh,75ZvA4QfFiZvzhj2xkaWAh,102,0.615806852733543
102,Rise,"Jonas Blue, Jack & Jack",2019-01-04,"6,149,574",https://open.spotify.com/track/3KLygy1YWhmrQx0GRs7IOx,3KLygy1YWhmrQx0GRs7IOx,103,0.6807554243044787
103,Ya No Tiene Novio,"Sebastian Yatra, Mau y Ricky",2019-01-04,"6,069,075",https://open.spotify.com/track/7uQmJ1jgNzBpATSoWKSPFu,7uQmJ1jgNzBpATSoWKSPFu,104,0.9344079626499044
104,NI BIEN NI MAL,Bad Bunny,2019-01-04,"6,039,873",https://open.spotify.com/track/278kSqsZIiYp8p3QjYAqa8,278kSqsZIiYp8p3QjYAqa8,105,0.23800200423626938
105,The Middle,"Zedd, Maren Morris, Grey",2019-01-04,"6,024,466",https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,09IStsImFySgyp0pIQdqAc,106,0.7136165396079278
106,changes,XXXTENTACION,2019-01-04,"6,023,636",https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO,7AFASza1mXqntmGtbxXprO,107,0.061891303474042036
107,YOSEMITE,Travis Scott,2019-01-04,"6,020,702",https://open.spotify.com/track/7lAK3oHbfEnvUQWosrMMpR,7lAK3oHbfEnvUQWosrMMpR,108,0.14006479536240313
108,Thunder,Imagine Dragons,2019-01-04,"6,016,230",https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,1zB4vmk8tFRmM9UULNzbLB,109,0.5602898976349526
109,Undecided,Chris Brown,2019-01-04,"5,977,064",https://open.spotify.com/track/7uiBocndm12aKbsdnQ3Scx,7uiBocndm12aKbsdnQ3Scx,110,0.49066915722166615
110,FRIENDS,"Marshmello, Anne-Marie",2019-01-04,"5,968,014",https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G,08bNPGLD8AhKpnnERrAc6G,111,0.6850029383933754
111,SOLO,JENNIE,2019-01-04,"5,956,033",https://open.spotify.com/track/2wVDWtLKXunswWecARNILj,2wVDWtLKXunswWecARNILj,112,0.24129017705602862
112,New Rules,Dua Lipa,2019-01-04,"5,925,292",https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O,2xJCMIJfcNYDc5iR0sAm2O,113,0.6073777052102209
113,This Feeling,"The Chainsmokers, Kelsea Ballerini",2019-01-04,"5,925,138",https://open.spotify.com/track/4NBTZtAt1F13VvlSKe6KTl,4NBTZtAt1F13VvlSKe6KTl,114,0.008867794623848235
114,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,2019-01-04,"5,906,612",https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW,4hQ6UGyWQIGJmHSo0J88JW,115,0.27607390974249657
115,"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse",Nicki Minaj,2019-01-04,"5,872,266",https://open.spotify.com/track/4Uy3kNxW2kB8AEoXljEcth,4Uy3kNxW2kB8AEoXljEcth,116,0.3837412472035966
116,Butterfly Doors,Lil Pump,2019-01-04,"5,829,912",https://open.spotify.com/track/4NdXQlDTzxbOMkzJGWFtz3,4NdXQlDTzxbOMkzJGWFtz3,117,0.8987537209935182
117,God is a woman,Ariana Grande,2019-01-04,"5,815,530",https://open.spotify.com/track/5OCJzvD7sykQEKHH7qAC3C,5OCJzvD7sykQEKHH7qAC3C,118,0.12728433048468446
118,Electricity (with Dua Lipa),"Silk City, Diplo, Mark Ronson",2019-01-04,"5,806,209",https://open.spotify.com/track/5N4erncE7kuUccm7zEmwzk,5N4erncE7kuUccm7zEmwzk,119,0.6474243961328489
119,Best Part (feat. Daniel Caesar),H.E.R.,2019-01-04,"5,737,658",https://open.spotify.com/track/4OBZT9EnhYIV17t4pGw7ig,4OBZT9EnhYIV17t4pGw7ig,120,0.7585011217389572
120,Say You Won't Let Go,James Arthur,2019-01-04,"5,733,167",https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,5uCax9HTNlzGybIStD3vDh,121,0.9820063788632549
121,Culpables,"KAROL G, Anuel AA",2019-01-04,"5,688,412",https://open.spotify.com/track/6q8Lb50EtqNeeJXXe8mMAH,6q8Lb50EtqNeeJXXe8mMAH,122,0.5413516737638898
122,Under Pressure - Remastered,"Queen, David Bowie",2019-01-04,"5,586,372",https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x,2fuCquhmrzHpu5xcA1ci9x,123,0.09356533929768385
123,Too Good At Goodbyes,Sam Smith,2019-01-04,"5,571,631",https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,1mXVgsBdtIVeCLJnSnmtdV,124,0.8807841336043929
124,Woman Like Me (feat. Nicki Minaj),Little Mix,2019-01-04,"5,507,540",https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED,222B3aljXx6fFwKmFjuBED,125,0.7473848183221808
125,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,2019-01-04,"5,497,503",https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e,4e4fqjx0Izh4svvTef1z7e,126,0.8655081744181992
126,Fuck Love (feat. Trippie Redd),XXXTENTACION,2019-01-04,"5,478,008",https://open.spotify.com/track/7AQim7LbvFVZJE3O8TYgf2,7AQim7LbvFVZJE3O8TYgf2,127,0.24830948565798494
127,Look Alive (feat. Drake),BlocBoy JB,2019-01-04,"5,476,610",https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL,4qKcDkK6siZ7Jp1Jb4m0aL,128,0.858837746945711
128,Always Remember Us This Way,Lady Gaga,2019-01-04,"5,467,451",https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk,2rbDhOo9Fh61Bbu23T2qCk,129,0.9837249326504204
129,Amigos Con Derechos,"Reik, Maluma",2019-01-04,"5,445,003",https://open.spotify.com/track/2zDj4WjbNDmrRL6Z4YjjCA,2zDj4WjbNDmrRL6Z4YjjCA,130,0.7671322181584264
130,I'm a Mess,Bebe Rexha,2019-01-04,"5,421,941",https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R,04ZTP5KsCypmtCmQg5tH9R,131,0.8606978066019835
131,Somebody To Love - 2011 Mix,Queen,2019-01-04,"5,361,535",https://open.spotify.com/track/6cFZ4PLC19taNlpl9pbGMf,6cFZ4PLC19taNlpl9pbGMf,132,0.8188747760173312
132,Créeme,"KAROL G, Maluma",2019-01-04,"5,256,699",https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz,1mT47pKLXUwPYGwB91GcNz,133,0.4023547987550332
133,Lucky You (feat. Joyner Lucas),Eminem,2019-01-04,"5,235,879",https://open.spotify.com/track/60SdxE8apGAxMiRrpbmLY0,60SdxE8apGAxMiRrpbmLY0,134,0.14534776429309448
134,Thunderclouds,"Sia, Diplo, Labrinth, LSD",2019-01-04,"5,216,852",https://open.spotify.com/track/2c7GlMNmF7pbohjykutmLP,2c7GlMNmF7pbohjykutmLP,135,0.9013467108293236
